RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,James HardenHOU,SG,68,36.5,34.3,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,6.6,7.5,1.8,0.9,4.5,22,4,29.11
2,Bradley BealWSH,SG,57,36,30.5,10.4,22.9,45.5,3,8.4,35.3,6.8,8,84.2,4.2,6.1,1.2,0.4,3.4,8,0,23.22
3,Damian LillardPOR,PG,66,37.5,30,9.5,20.4,46.3,4.1,10.2,40.1,7,7.8,88.8,4.3,8,1.1,0.3,2.9,19,1,26.95
4,Trae YoungATL,PG,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8,9.3,86,4.3,9.3,1.1,0.1,4.8,28,2,23.95
5,Giannis AntetokounmpoMIL,PF,63,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10,63.3,13.6,5.6,1,1,3.7,56,4,31.94
6,Luka DoncicDAL,SG,61,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7,9.2,75.8,9.4,8.8,1,0.2,4.3,39,17,27.65
7,Russell WestbrookHOU,PG,57,35.9,27.2,10.6,22.5,47.2,1,3.7,25.8,5.1,6.7,76.3,7.9,7,1.6,0.4,4.5,22,8,21.1
8,Kawhi LeonardLAC,SF,57,32.4,27.1,9.3,19.9,47,2.2,5.7,37.8,6.2,7.1,88.6,7.1,4.9,1.8,0.6,2.6,13,1,26.91
9,Devin BookerPHX,SG,70,35.9,26.6,9,18.3,48.9,2,5.7,35.4,6.7,7.3,91.9,4.2,6.5,0.7,0.3,3.8,11,0,20.64
10,Anthony DavisLAL,PF,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33,7.2,8.5,84.6,9.3,3.2,1.5,2.3,2.5,29,0,27.5
11,Zach LaVineCHI,PG,60,34.8,25.5,9,20,45,3.1,8.1,38,4.5,5.6,80.2,4.8,4.2,1.5,0.5,3.4,2,0,19.52
12,LeBron JamesLAL,SF,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,7.8,10.2,1.2,0.5,3.9,46,13,25.55
13,Donovan MitchellUTAH,SG,69,34.3,24,8.7,19.4,44.9,2.5,6.9,36.6,4,4.7,86.3,4.4,4.3,1,0.2,2.7,1,0,18.86
14,Brandon IngramNO,SF,62,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5,5.9,85.1,6.1,4.2,1,0.6,3,9,0,18.88
15,Jayson TatumBOS,PF,66,34.3,23.4,8.4,18.6,45,2.9,7.1,40.3,3.8,4.7,81.2,7,3,1.4,0.9,2.3,10,0,20.45
16,Pascal SiakamTOR,PF,60,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4,5.1,79.2,7.3,3.5,1,0.9,2.5,12,0,17.96
17,CJ McCollumPOR,SG,70,36.5,22.2,8.7,19.4,45.1,2.8,7.3,37.9,2,2.6,75.7,4.2,4.4,0.8,0.6,1.8,4,0,17.08
18,DeMar DeRozanSA,SF,68,34.1,22.1,8.2,15.4,53.1,0.1,0.5,25.7,5.6,6.6,84.5,5.5,5.6,1,0.3,2.4,7,0,21.66
19,Andrew WigginsGS/MIN,SF,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5,70.9,5.1,3.7,0.8,1,2.4,4,1,16.44
20,De'Aaron FoxSAC,PG,51,32,21.1,7.7,16,48,1.1,3.6,29.2,4.7,6.7,70.5,3.8,6.8,1.5,0.5,3.1,9,0,20.7
21,Khris MiddletonMIL,SF,62,29.9,20.9,7.6,15.3,49.7,2.4,5.7,41.5,3.4,3.7,91.6,6.2,4.3,0.9,0.1,2.2,7,0,21.2
22,Collin SextonCLE,PG,65,33,20.8,7.9,16.7,47.2,1.5,3.9,38,3.5,4.1,84.6,3.1,3,1,0.1,2.4,0,0,16.39
23,Spencer DinwiddieBKN,PG,64,31.2,20.6,6.6,16,41.5,1.9,6.3,30.8,5.4,7,77.8,3.5,6.8,0.6,0.3,2.7,9,0,17.9
24,Kemba WalkerBOS,PG,56,31.1,20.4,6.8,15.9,42.5,3.2,8.4,38.1,3.7,4.3,86.4,3.9,4.8,0.9,0.5,2.1,2,0,20
25,Kristaps PorzingisDAL,PF,57,31.8,20.4,7,16.4,42.7,2.5,7.1,35.2,4,5,79.9,9.5,1.8,0.7,2,1.6,25,0,20.3
26,Jaylen BrownBOS,SG,57,33.9,20.3,7.5,15.6,48.1,2.3,5.9,38.2,3.1,4.3,72.4,6.4,2.1,1.1,0.4,2.2,8,0,17
27,Bojan BogdanovicUTAH,SF,63,33.1,20.2,6.6,14.8,44.7,3,7.3,41.4,4,4.4,90.3,4.1,2.1,0.5,0.1,2.5,0,0,15.67
28,Jimmy ButlerMIA,SF,58,33.8,19.9,5.9,13.1,45.5,0.5,2.1,24.4,7.6,9.1,83.4,6.7,6,1.8,0.6,2.2,11,3,23.61
29,Nikola JokicDEN,C,73,32,19.9,7.7,14.7,52.8,1.1,3.5,31.4,3.4,4.1,81.7,9.7,7,1.2,0.6,3.1,43,13,24.97
30,T.J. WarrenIND,SF,67,32.9,19.8,8,14.9,53.6,1.4,3.4,40.3,2.5,3,81.9,4.2,1.5,1.2,0.5,1.3,2,0,18.45
31,Tobias HarrisPHI,SF,72,34.3,19.6,7.7,16.3,47.1,1.8,5,36.7,2.4,3,80.6,6.9,3.2,0.7,0.6,1.4,11,0,17.25
32,Nikola VucevicORL,C,62,32.2,19.6,8,16.7,47.7,1.6,4.7,33.9,2.1,2.7,78.4,10.9,3.6,0.9,0.8,1.4,41,0,21.95
33,Julius RandleNY,PF,64,32.5,19.5,7.2,15.7,46,1,3.6,27.7,4,5.5,73.3,9.7,3.1,0.8,0.3,3,30,0,17.55
34,Kyle LowryTOR,PG,58,36.2,19.4,5.8,13.8,41.6,2.8,8,35.2,5.1,5.9,85.7,5,7.5,1.4,0.4,3.1,15,2,17.75
35,Buddy HieldSAC,SG,72,30.8,19.2,6.9,16.1,42.9,3.8,9.6,39.4,1.6,1.9,84.6,4.6,3,0.9,0.2,2.3,2,0,16.03
36,Jrue HolidayNO,SG,61,34.7,19.1,7.5,16.5,45.5,2,5.7,35.3,2.1,3,70.9,4.8,6.7,1.6,0.8,3,10,1,17.09
37,Shai Gilgeous-AlexanderOKC,SG,70,34.7,19,6.8,14.5,47.1,1.2,3.6,34.7,4.1,5.1,80.7,5.9,3.3,1.1,0.7,1.9,9,1,17.76
38,Dennis SchroderOKC,PG,65,30.8,18.9,7,14.8,46.9,1.9,5,38.5,3,3.6,83.9,3.6,4,0.7,0.2,2.6,0,0,16.77
39,LaMarcus AldridgeSA,PF,53,33.1,18.9,7.4,15,49.3,1.2,3,38.9,3,3.6,82.7,7.4,2.4,0.7,1.6,1.4,14,0,19.78
40,Danilo GallinariOKC,PF,62,29.6,18.7,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,5.2,1.9,0.7,0.1,1.2,3,0,19.5
41,Kelly Oubre Jr.PHX,SF,56,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78,6.4,1.5,1.3,0.7,1.5,9,0,15.01
42,Montrezl HarrellLAC,PF,63,27.8,18.6,7.5,12.9,58,0,0.3,0,3.7,5.6,65.8,7.1,1.7,0.6,1.1,1.7,12,0,23.26
43,Evan FournierORL,SG,66,31.5,18.5,6.6,14.1,46.7,2.6,6.6,39.9,2.7,3.3,81.8,2.6,3.2,1.1,0.2,1.9,0,0,16.44
43,Domantas SabonisIND,PF,62,34.8,18.5,7.4,13.7,54,0.3,1.1,25.4,3.5,4.8,72.3,12.4,5,0.8,0.5,2.7,50,4,20.72
45,Jamal MurrayDEN,PG,59,32.3,18.5,6.9,15.2,45.6,1.9,5.5,34.6,2.8,3.1,88.1,4,4.8,1.1,0.3,2.2,3,0,17.78
46,Lou WilliamsLAC,SG,65,28.7,18.2,6,14.4,41.8,1.7,4.8,35.2,4.5,5.2,86.1,3.1,5.6,0.7,0.2,2.8,2,0,17.38
47,Devonte' GrahamCHA,PG,63,35.1,18.2,5.8,15.3,38.2,3.5,9.3,37.3,3,3.7,82,3.4,7.5,1,0.2,2.9,17,0,15.82
48,Derrick RoseDET,PG,50,26,18.1,7.4,15.1,49,0.9,2.9,30.6,2.4,2.8,87.1,2.4,5.6,0.8,0.3,2.5,4,0,21.13
49,Terry RozierCHA,PG,63,34.3,18,6.3,14.9,42.3,2.7,6.7,40.7,2.6,3,87.4,4.4,4.1,1,0.2,2.2,2,0,14.9
50,Ja MorantMEM,PG,67,31,17.8,6.7,14,47.7,0.9,2.7,33.5,3.6,4.6,77.6,3.9,7.3,0.9,0.3,3.3,15,2,17.45
51,Andre DrummondCLE/DET,C,57,33,17.7,7.3,13.8,53.3,0.1,0.6,14.3,3,5.2,57.5,15.2,2.7,1.9,1.6,3.6,47,0,22.08
52,Fred VanVleetTOR,SG,54,35.7,17.6,5.9,14.3,41.3,2.7,6.9,39,3.1,3.7,84.8,3.8,6.6,1.9,0.3,2.2,8,0,16.32
53,Kevin LoveCLE,PF,56,31.8,17.6,5.8,13,45,2.6,7,37.4,3.3,3.9,85.4,9.8,3.2,0.6,0.3,2.5,23,0,17.97
54,Chris PaulOKC,PG,70,31.5,17.6,6.2,12.7,48.9,1.6,4.3,36.5,3.6,4,90.7,5,6.7,1.6,0.2,2.3,10,0,21.72
55,Gordon HaywardBOS,SF,52,33.5,17.5,6.7,13.5,50,1.6,4.3,38.3,2.4,2.8,85.5,6.7,4.1,0.7,0.4,1.8,8,0,18.16
56,Jaren Jackson Jr.MEM,PF,57,28.5,17.4,6.2,13.2,46.9,2.5,6.5,39.4,2.4,3.3,74.7,4.6,1.4,0.7,1.6,1.7,3,0,16.33
57,Marcus Morris Sr.LAC/NY,SF,62,31.2,16.7,5.7,13.1,43.8,2.3,5.6,40.8,2.9,3.5,82.3,5,1.4,0.8,0.5,1.6,3,0,14.4
58,Malcolm BrogdonIND,PG,54,30.9,16.5,6,13.8,43.8,1.4,4.3,32.6,3.1,3.4,89.2,4.9,7.1,0.6,0.2,2.4,9,0,17.76
59,Ben SimmonsPHI,PG,57,35.4,16.4,6.6,11.4,58,0,0.1,28.6,3.2,5.2,62.1,7.8,8,2.1,0.6,3.5,31,6,20.47
60,Dillon BrooksMEM,SG,73,28.9,16.2,6,14.6,40.7,2,5.6,35.8,2.2,2.8,80.8,3.3,2.1,0.9,0.4,1.7,0,0,11.35
61,Goran DragicMIA,PG,59,28.2,16.2,5.4,12.3,44.1,2.1,5.7,36.7,3.2,4.2,77.6,3.2,5.1,0.7,0.2,2.4,3,0,16.41
62,Norman PowellTOR,SG,52,28.4,16,5.7,11.5,49.5,2.1,5.3,39.9,2.5,2.9,84.3,3.7,1.8,1.2,0.4,1.5,0,0,16.84
63,Bam AdebayoMIA,PF,72,33.6,15.9,6.1,11,55.7,0,0.2,14.3,3.7,5.3,69.1,10.2,5.1,1.1,1.3,2.8,40,3,20.36
64,Tim Hardaway Jr.DAL,SG,71,29.5,15.8,5.4,12.5,43.4,2.9,7.2,39.8,2.1,2.6,81.9,3.3,1.9,0.6,0.1,1,0,0,14.51
65,Hassan WhitesidePOR,C,67,30,15.5,6.5,10.5,62.1,0.1,0.1,57.1,2.4,3.6,68.6,13.5,1.2,0.4,2.9,1.8,51,0,25.07
66,Davis BertansWSH,SF,54,29.3,15.4,4.9,11.3,43.4,3.7,8.7,42.4,1.9,2.3,85.2,4.5,1.7,0.7,0.6,1.1,1,0,15.53
67,Carmelo AnthonyPOR,PF,58,32.8,15.4,5.8,13.5,43,1.5,3.9,38.5,2.3,2.8,84.5,6.3,1.5,0.8,0.5,1.7,5,0,12.43
68,Serge IbakaTOR,C,55,27,15.4,6.2,12.2,51.2,1.3,3.3,38.5,1.6,2.3,71.8,8.2,1.4,0.5,0.8,2,20,0,17.41
69,Kendrick NunnMIA,SG,67,29.3,15.3,6,13.6,43.9,2,5.8,35,1.3,1.5,85,2.7,3.3,0.8,0.2,1.7,0,0,12.95
70,JJ RedickNO,SG,60,26.4,15.3,4.8,10.5,45.3,3,6.6,45.3,2.8,3.1,89.2,2.5,2,0.3,0.2,1.3,0,0,15.47
71,Jordan ClarksonCLE/UTAH,PG,71,24,15.2,5.5,12.2,45.4,2.1,5.8,36.8,1.9,2.3,83.6,2.6,1.9,0.6,0.2,1.4,0,0,17.37
72,Bogdan BogdanovicSAC,SG,61,29,15.1,5.5,12.6,44,2.7,7.2,37.2,1.4,1.9,74.1,3.4,3.4,1,0.2,1.7,2,0,15.2
73,Rudy GobertUTAH,C,68,34.3,15.1,5.7,8.2,69.3,0,0,0,3.7,5.9,63,13.5,1.5,0.8,2,1.9,49,0,21.72
74,Will BartonDEN,SF,58,33,15.1,5.7,12.7,45,1.9,5,37.5,1.8,2.3,76.7,6.3,3.7,1.1,0.5,1.5,7,0,15.7
75,Alec BurksGS/PHI,SG,66,26.6,15,4.9,11.6,41.8,1.8,4.6,38.5,3.6,4,88.7,4.3,2.9,0.9,0.3,1.4,1,0,16.78
76,Eric BledsoeMIL,PG,61,27,14.9,5.5,11.5,47.4,1.2,3.5,34.4,2.8,3.5,79,4.6,5.4,0.9,0.4,2.4,2,0,17.68
77,Jonas ValanciunasMEM,C,70,26.4,14.9,6.2,10.6,58.5,0.5,1.3,35.2,2.1,2.9,74,11.3,1.9,0.4,1.1,1.8,39,1,22.32
78,Lauri MarkkanenCHI,PF,50,29.8,14.7,5,11.8,42.5,2.2,6.3,34.4,2.5,3.1,82.4,6.3,1.5,0.8,0.5,1.6,3,0,14.32
79,Terrence RossORL,SG,69,27.4,14.7,4.9,12.3,40.3,2.6,7.3,35.1,2.3,2.7,85.3,3.2,1.2,1.1,0.3,1,0,0,14.06
80,Harrison BarnesSAC,SF,72,34.5,14.5,5.1,11,46,1.4,3.7,38.1,3,3.7,80.2,4.9,2.2,0.6,0.2,1.2,4,0,13.3
81,Joe HarrisBKN,SF,69,30.8,14.5,5.5,11.4,48.6,2.5,5.9,42.4,0.9,1.3,71.9,4.3,2.1,0.6,0.2,1.5,0,0,13.37
82,Aaron GordonORL,PF,62,32.5,14.4,5.4,12.4,43.7,1.2,3.8,30.8,2.4,3.6,67.4,7.7,3.7,0.8,0.6,1.6,20,1,15.18
83,RJ BarrettNY,SG,56,30.4,14.3,5.2,13,40.2,1.1,3.5,32,2.8,4.5,61.4,5,2.6,1,0.3,2.2,2,0,10.76
84,Eric PaschallGS,PF,60,27.6,14,5.3,10.7,49.7,0.6,2.2,28.7,2.7,3.5,77.4,4.6,2.1,0.5,0.2,1.6,4,0,14.53
85,Josh RichardsonPHI,SG,55,30.8,13.7,5.1,11.7,43,1.5,4.5,34.1,2.1,2.6,80.9,3.2,2.9,0.9,0.7,1.9,0,0,12.02
86,Tyler HerroMIA,SG,55,27.4,13.5,4.9,11.5,42.8,2.1,5.4,38.9,1.6,1.8,87,4.1,2.2,0.6,0.2,1.6,1,0,12.53
87,Duncan RobinsonMIA,SG,73,29.7,13.5,4.4,9.4,47,3.7,8.3,44.6,0.9,1,93.1,3.2,1.4,0.5,0.3,1,1,0,13.12
88,Coby WhiteCHI,PG,65,25.8,13.2,4.8,12.2,39.4,2,5.8,35.4,1.6,2,79.1,3.5,2.7,0.8,0.1,1.7,0,0,11.92
89,Christian WoodDET,PF,62,21.4,13.1,4.6,8.2,56.7,0.9,2.3,38.6,2.9,3.9,74.4,6.3,1,0.5,0.9,1.4,12,0,23.22
90,Ricky RubioPHX,PG,65,31,13,4.4,10.6,41.5,1.2,3.3,36.1,3,3.5,86.3,4.7,8.8,1.4,0.2,2.7,22,2,16.53
91,Miles BridgesCHA,SF,65,30.7,13,4.9,11.6,42.4,1.5,4.6,33,1.6,2,80.9,5.6,1.8,0.6,0.7,1.5,4,0,12.19
92,Marcus SmartBOS,PG,60,32,12.9,4.3,11.4,37.5,2.3,6.6,34.7,2.1,2.5,83.6,3.8,4.9,1.7,0.5,1.7,3,0,13.78
93,Kyle KuzmaLAL,PF,61,25,12.8,4.8,11,43.6,1.4,4.5,31.6,1.9,2.5,73.5,4.5,1.3,0.5,0.4,1.5,2,0,12.25
94,Damion LeeGS,SG,49,29,12.7,4.3,10.4,41.7,1.7,4.9,35.6,2.2,2.6,87.3,4.9,2.7,1,0.1,1.4,3,0,12.75
95,Robert CovingtonHOU/MIN,PF,70,30.5,12.4,4.4,10.3,42.2,2.3,6.9,33.5,1.4,1.8,79.8,6.6,1.3,1.6,1.3,1.5,7,0,13.38
96,Seth CurryDAL,SG,64,24.6,12.4,4.4,9,49.5,2.3,5,45.2,1.3,1.5,82.5,2.3,1.9,0.6,0.1,1,0,0,15.59
97,De'Andre HunterATL,SF,63,32,12.3,4.4,10.8,41,1.7,4.8,35.5,1.7,2.3,76.4,4.5,1.8,0.7,0.3,1.6,3,0,8.66
98,Darius GarlandCLE,PG,59,30.9,12.3,4.7,11.8,40.1,1.8,5,35.5,1.1,1.2,87.5,1.9,3.9,0.7,0.1,2.6,1,0,8.54
99,PJ WashingtonCHA,PF,58,30.3,12.2,4.6,10.2,45.5,1.5,4,37.4,1.5,2.3,64.7,5.4,2.1,0.9,0.8,1.6,4,0,12.48
100,Kevin HuerterATL,SG,56,31.4,12.2,4.5,10.9,41.3,2.3,6,38,0.9,1.1,82.8,4.1,3.8,0.9,0.5,1.6,2,0,11.57
101,Markelle FultzORL,PG,72,27.7,12.1,5,10.7,46.5,0.5,1.9,26.7,1.6,2.2,73,3.3,5.1,1.3,0.2,2,4,1,14.35
102,Myles TurnerIND,C,62,29.5,12.1,4.3,9.5,45.7,1.4,4,34.4,2,2.7,75.1,6.6,1.2,0.7,2.1,1.4,9,0,14.87
103,Taurean PrinceBKN,PF,64,29,12.1,4.3,11.5,37.6,2.3,6.7,33.9,1.1,1.4,79.8,6,1.8,0.9,0.4,2,8,0,9.19
104,Brandon ClarkeMEM,SF,58,22.4,12.1,5.1,8.3,61.8,0.4,1.1,35.9,1.5,1.9,75.9,5.9,1.4,0.6,0.8,0.9,3,0,20.97
