RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
140,Larry Nance Jr.CLE,PF,56,26.3,10.1,4.1,7.7,53.1,1,2.8,35.2,0.9,1.3,67.6,7.3,2.2,1,0.4,1.1,12,0,17.37
141,Ben McLemoreHOU,SF,71,22.8,10.1,3.4,7.7,44.4,2.5,6.4,40,0.7,0.9,74.6,2.2,0.8,0.6,0.2,0.7,1,0,11.86
142,Kevin Porter Jr.CLE,SG,50,23.2,10,3.7,8.4,44.2,1.1,3.2,33.5,1.5,2,72.3,3.2,2.2,0.9,0.3,1.9,0,0,10.82
143,Tomas SatoranskyCHI,SG,65,28.9,9.9,3.6,8.5,43,1,3.1,32.2,1.6,1.9,87.6,3.9,5.4,1.2,0.1,2,3,0,13.52
144,Joe InglesUTAH,SG,72,29.7,9.8,3.4,7.7,44.5,2,4.9,39.9,1,1.3,78.7,3.9,5.2,0.9,0.2,2,3,0,12.64
145,Furkan KorkmazPHI,SG,72,21.7,9.8,3.4,7.8,43,2,4.9,40.2,1.1,1.4,75.5,2.3,1.1,0.6,0.2,0.8,0,0,12.08
146,Mitchell RobinsonNY,C,61,23.1,9.7,4.1,5.6,74.2,0,0,0,1.4,2.4,56.8,7,0.6,0.9,2,0.6,8,0,23.51
147,Markieff MorrisDET/LAL,PF,58,20.5,9.7,3.5,7.9,44.3,1.5,3.9,38.6,1.1,1.5,77.6,3.8,1.3,0.5,0.3,1.3,1,0,12.57
148,Dorian Finney-SmithDAL,SF,71,29.9,9.5,3.4,7.4,46.6,1.6,4.3,37.6,1.1,1.5,72.2,5.7,1.6,0.6,0.5,1,5,0,12.35
149,Aaron HolidayIND,PG,66,24.5,9.5,3.5,8.5,41.4,1.3,3.3,39.4,1.1,1.3,85.1,2.4,3.4,0.8,0.2,1.3,3,0,11.64
150,George HillMIL,PG,59,21.5,9.4,3.3,6.4,51.6,1.4,3,46,1.4,1.7,84.2,3,3.1,0.8,0.1,1,0,0,16.97
151,Kentavious Caldwell-PopeLAL,SG,69,25.5,9.3,3.4,7.3,46.7,1.3,3.5,38.5,1.1,1.5,77.5,2.1,1.6,0.8,0.2,0.9,0,0,11.01
152,Michael Porter Jr.DEN,PF,55,16.4,9.3,3.5,7,50.9,1.1,2.7,42.2,1.1,1.3,83.3,4.7,0.8,0.5,0.5,0.9,9,0,19.84
