RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
15,Enes KanterNY,C,71,25.8,14.1,5.9,10,59.2,0,0,0,2.2,2.6,84.8,11,1.5,0.5,0.5,1.7,39,0,24.02
16,Jimmy ButlerMIN,SF,59,36.7,22.2,7.4,15.6,47.4,1.2,3.4,35,6.2,7.2,85.4,5.3,4.9,2,0.4,1.8,3,0,23.7
17,Victor OladipoIND,SG,75,34,23.1,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,79.9,5.2,4.3,2.4,0.8,2.9,3,0,23.12
18,Joel EmbiidPHI,C,63,30.3,22.9,8.1,16.8,48.3,1,3.4,30.8,5.7,7.4,76.9,11,3.2,0.6,1.8,3.7,38,0,22.95
19,Andre DrummondDET,C,78,33.7,15,6,11.3,52.9,0,0.1,0,3.1,5.1,60.5,16,3,1.5,1.6,2.6,62,0,22.94
20,Jonas ValanciunasTOR,C,77,22.4,12.7,5.1,8.9,56.8,0.4,1,40.5,2.2,2.7,80.6,8.6,1.1,0.4,0.9,1.5,26,0,22.52
21,Kevin LoveCLE,PF,59,28,17.6,5.7,12.4,45.8,2.3,5.6,41.5,4,4.5,88,9.3,1.7,0.7,0.4,1.5,31,0,22.44
22,JaVale McGeeGS,C,65,9.5,4.8,2.1,3.4,62.1,0,0.1,0,0.6,0.8,73.1,2.6,0.5,0.3,0.9,0.4,0,0,22.39
23,DeMar DeRozanTOR,SF,80,33.9,23,8.1,17.7,45.6,1.1,3.6,31,5.8,7,82.5,3.9,5.2,1.1,0.3,2.2,0,0,21.1
24,David WestGS,F,73,13.7,6.8,3,5.2,57.1,0,0.1,37.5,0.8,1.1,75.9,3.3,1.9,0.6,1,1.1,0,0,21.01
25,Steven AdamsOKC,C,76,32.7,13.9,5.9,9.4,62.9,0,0,0,2.1,3.8,55.9,9,1.2,1.2,1,1.7,28,0,20.69
26,Kemba WalkerCHA,PG,80,34.2,22.1,7.4,17,43.1,2.9,7.5,38.4,4.5,5.3,86.4,3.1,5.6,1.1,0.3,2.2,3,0,20.62
27,Dwight HowardCHA,C,81,30.4,16.6,6.2,11.2,55.5,0,0.1,14.3,4.1,7.2,57.4,12.5,1.3,0.6,1.6,2.6,53,0,20.56
28,Lou WilliamsLAC,SG,79,32.8,22.6,7.4,16.9,43.5,2.4,6.6,35.9,5.5,6.2,88,2.5,5.3,1.1,0.2,3,7,0,20.29
29,Larry Nance Jr.CLE/LAL,PF,66,21.5,8.7,3.6,6.3,58.1,0,0.2,16.7,1.4,2.1,66.4,6.8,1.2,1.3,0.6,0.8,11,0,20.18
30,DeAndre JordanLAC,C,77,31.5,12,4.8,7.5,64.5,0,0,0,2.4,4.1,58,15.2,1.5,0.5,0.9,1.8,46,0,20.17
31,Ben SimmonsPHI,PG,81,33.7,15.8,6.7,12.3,54.5,0,0.1,0,2.4,4.2,56,8.1,8.2,1.7,0.9,3.4,38,12,20.03
32,Kyle O'QuinnNY,C,77,18,7.1,2.9,5,58.3,0.1,0.2,23.5,1.3,1.6,77.2,6.1,2.1,0.5,1.3,1.3,8,0,20.01
33,Julius RandleLAL,PF,82,26.7,16.1,6.1,11,55.8,0.1,0.5,22.2,3.7,5.2,71.8,8,2.6,0.5,0.5,2.6,28,1,19.96
34,Eric BledsoeMIL/PHX,PG,74,31.4,17.7,6.3,13.4,47.3,1.7,4.9,34.7,3.4,4.3,79.5,3.8,5,2,0.6,2.9,3,1,19.79
35,Bobby PortisCHI,PF,73,22.5,13.2,5.2,11.1,47.1,1.1,3.1,35.9,1.6,2.1,76.9,6.8,1.7,0.7,0.3,1.4,12,0,19.78
36,Blake GriffinDET/LAC,PF,58,34,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,7.4,5.8,0.7,0.3,2.8,16,3,19.65
37,Kyle LowryTOR,PG,78,32.2,16.2,5.2,12.1,42.7,3.1,7.6,39.9,2.9,3.3,85.4,5.6,6.9,1.1,0.2,2.3,23,3,19.53
38,Alex LenPHX,C,69,20.2,8.5,3.1,5.5,56.6,0,0,33.3,2.3,3.3,68.4,7.5,1.2,0.4,0.9,1.1,12,0,19.37
39,Jusuf NurkicPOR,C,79,26.4,14.3,6.1,12,50.5,0,0.1,0,2.2,3.5,63,9,1.8,0.8,1.4,2.3,27,0,19.28
40,Pau GasolSA,PF,77,23.5,10.1,3.7,8.1,45.8,0.6,1.6,35.8,2.1,2.7,75.6,8,3.1,0.3,1,1.4,16,1,18.98
41,Darren CollisonIND,G,69,29.2,12.4,4.6,9.2,49.5,1.4,3,46.8,1.8,2.1,88.2,2.6,5.3,1.3,0.2,1.2,6,0,18.86
42,Dwight PowellDAL,C,79,21.2,8.5,3.2,5.4,59.3,0.4,1.1,33.3,1.7,2.3,71.9,5.6,1.2,0.8,0.4,0.7,5,0,18.82
43,Derrick FavorsUTAH,C,77,28,12.3,5.1,9.1,56.3,0.2,0.8,22.2,1.8,2.8,65.1,7.2,1.3,0.7,1.1,1.1,15,0,18.82
44,Paul GeorgeOKC,SG,79,36.6,21.9,7.3,17,43,3.1,7.7,40.1,4.3,5.2,82.2,5.7,3.3,2,0.5,2.7,4,0,18.71
45,Bradley BealWSH,SG,82,36.3,22.6,8.3,18.1,46,2.4,6.5,37.5,3.6,4.5,79.1,4.4,4.5,1.2,0.4,2.6,4,0,18.51
46,Otto Porter Jr.WSH,SF,77,31.6,14.7,5.8,11.5,50.3,1.8,4.1,44.1,1.4,1.7,82.8,6.4,2,1.5,0.5,1,13,0,18.37
47,John CollinsATL,PF,74,24.1,10.5,4.2,7.4,57.6,0.2,0.6,34,1.8,2.5,71.5,7.3,1.3,0.6,1.1,1.4,11,0,18.33
48,Trey LylesDEN,C,73,19.1,9.9,3.7,7.5,49.1,1.1,3,38.1,1.4,2,70.6,4.8,1.2,0.4,0.5,0.8,6,0,17.95
49,Michael BeasleyNY,F,74,22.3,13.2,5.5,10.9,50.7,0.5,1.2,39.5,1.7,2.1,78,5.6,1.7,0.5,0.6,1.9,10,0,17.89
50,Jrue HolidayNO,SG,81,36.1,19,7.6,15.4,49.4,1.5,4.4,33.7,2.3,2.9,78.6,4.5,6,1.5,0.8,2.6,8,1,17.87
51,J.J. BareaDAL,PG,69,23.2,11.6,4.4,10,43.9,1.7,4.5,36.7,1.2,1.5,78.4,2.9,6.3,0.5,0,2.1,6,0,17.84
52,Kelly OlynykMIA,PF,76,23.4,11.5,4.2,8.4,49.7,1.4,3.7,37.9,1.8,2.3,77,5.7,2.7,0.8,0.5,1.9,7,0,17.82
53,Salah MejriDAL,C,61,12,3.5,1.4,2.2,64.2,0,0,0,0.6,1.1,57.6,4,0.6,0.4,1.1,0.6,1,0,17.81
54,T.J. WarrenPHX,SF,65,33,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3,3.9,75.7,5.1,1.3,1,0.6,1.3,6,0,17.71
55,Al HorfordBOS,PF,72,31.6,12.9,5.1,10.5,48.9,1.3,3.1,42.9,1.3,1.7,78.3,7.4,4.7,0.6,1.1,1.8,15,0,17.63
56,Willie Cauley-SteinSAC,C,73,28,12.8,5.3,10.6,50.2,0,0.2,25,2.1,3.4,61.9,7,2.4,1.1,0.9,1.5,12,0,17.61
57,Domantas SabonisIND,PF,74,24.5,11.6,4.6,8.9,51.4,0.2,0.5,35.1,2.3,3,75,7.7,2,0.5,0.4,1.9,15,0,17.57
58,Kosta KoufosSAC,C,71,19.6,6.7,3.1,5.5,57.1,0,0,0,0.5,1,44.6,6.6,1.2,0.7,0.5,0.7,6,0,17.56
59,Jarrett AllenBKN,C,72,20,8.2,3.3,5.5,58.9,0.1,0.2,33.3,1.6,2,77.6,5.4,0.7,0.4,1.2,1.1,4,0,17.56
60,Jakob PoeltlTOR,C,82,18.6,6.9,3.1,4.7,65.9,0,0,50,0.7,1.2,59.4,4.8,0.7,0.5,1.2,1,4,0,17.55
61,Khris MiddletonMIL,SF,82,36.4,20.1,7.2,15.5,46.6,1.8,5,35.9,3.9,4.4,88.4,5.2,4,1.5,0.3,2.3,5,1,17.45
62,Marc GasolMEM,C,73,33,17.2,5.9,14.2,42,1.5,4.4,34.1,3.8,4.6,83.4,8.1,4.2,0.7,1.4,2.7,25,1,17.42
63,Zach RandolphSAC,F,59,25.6,14.5,6.1,12.9,47.3,0.9,2.5,34.7,1.4,1.8,78.5,6.7,2.2,0.7,0.2,2,8,0,17.41
64,Dennis SchroderATL,PG,67,31,19.4,7.5,17.1,43.6,1.1,3.9,29,3.4,4,84.9,3.1,6.2,1.1,0.1,2.7,5,0,17.41
65,Tobias HarrisDET/LAC,SF,80,33.4,18.6,7,15.3,46,2.3,5.6,41.1,2.2,2.7,82.9,5.5,2.4,0.9,0.4,1.3,3,0,17.2
66,Jeremy LambCHA,SG,80,24.6,12.9,4.8,10.4,45.7,1.2,3.2,37,2.2,2.6,86.1,4.1,2.3,0.8,0.4,1.2,0,0,17.08
67,Zaza PachuliaGS,C,69,14.1,5.4,2.2,3.8,56.4,0,0,0,1.1,1.3,80.6,4.7,1.6,0.6,0.2,1,2,0,17
67,CJ McCollumPOR,SG,81,36.1,21.4,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,4,3.4,1,0.4,1.9,1,0,17
69,Mason PlumleeDEN,PF,74,19.5,7.1,3,5,60.1,0,0,0,1.1,2.4,45.8,5.4,1.9,0.7,1.1,1.4,3,0,17
70,Rondae Hollis-JeffersonBKN,SF,68,28.3,13.9,5,10.6,47.2,0.2,0.8,24.1,3.7,4.6,78.8,6.8,2.5,1,0.7,1.8,12,0,16.9
71,Dirk NowitzkiDAL,F,77,24.7,12,4.5,9.8,45.6,1.8,4.4,40.9,1.3,1.4,89.8,5.7,1.6,0.6,0.6,0.7,5,0,16.76
72,Donovan MitchellUTAH,SG,79,33.4,20.5,7.5,17.2,43.7,2.4,7,34,3,3.8,80.5,3.7,3.7,1.5,0.3,2.7,0,0,16.74
73,Deyonta DavisMEM,F,62,15.2,5.8,2.6,4.3,60.8,0,0,0,0.6,0.9,66.7,4,0.6,0.2,0.6,0.5,1,0,16.69
74,Myles TurnerIND,C,65,28.2,12.7,4.7,9.8,47.9,0.9,2.4,35.7,2.5,3.2,77.7,6.4,1.3,0.6,1.8,1.5,11,0,16.65
75,Goran DragicMIA,PG,75,31.7,17.3,6.5,14.3,45,1.5,4,37,2.9,3.6,80.1,4.1,4.8,0.8,0.2,2.2,3,0,16.64
76,Gary HarrisDEN,SG,67,34.4,17.5,6.6,13.6,48.5,2.3,5.9,39.6,2,2.4,82.7,2.6,2.9,1.8,0.2,1.8,0,0,16.6
77,Elfrid PaytonORL/PHX,PG,63,28.7,12.7,5.2,10.6,49.3,0.5,1.5,32.6,1.7,2.7,64.9,4.3,6.2,1.3,0.3,2.7,8,2,16.6
78,Brook LopezLAL,C,74,23.4,13,5,10.7,46.5,1.5,4.4,34.5,1.5,2.1,70.3,4,1.7,0.4,1.3,1.3,4,0,16.52
79,Aaron GordonORL,PF,58,32.9,17.6,6.5,14.9,43.4,2,5.9,33.6,2.7,3.9,69.8,7.9,2.3,1,0.8,1.8,17,0,16.51
80,Jordan ClarksonCLE/LAL,PG,81,23.3,13.9,5.3,11.8,45.1,1.4,3.9,35.2,1.9,2.3,80,2.7,2.7,0.7,0.1,1.6,1,0,16.5
81,Delon WrightTOR,PG,69,20.8,8,2.9,6.3,46.5,0.8,2.2,36.6,1.4,1.7,82.9,2.9,2.9,1,0.5,1.1,1,0,16.49
82,Jeff TeagueMIN,PG,70,33,14.2,5.1,11.3,44.6,1.2,3.3,36.8,2.9,3.4,84.5,3,7,1.5,0.3,2.5,13,0,16.44
83,Will BartonDEN,SF,81,33.1,15.7,5.7,12.7,45.2,1.9,5.2,37,2.2,2.8,80.5,5,4.1,1,0.6,1.8,2,0,16.21
84,Jerami GrantOKC,PF,81,20.3,8.4,3,5.6,53.5,0.4,1.4,29.1,2,3,67.5,3.9,0.7,0.4,1,0.7,2,0,16.19
85,Jamal MurrayDEN,PG,81,31.7,16.7,5.9,13.1,45.1,2,5.4,37.8,2.8,3.1,90.5,3.7,3.4,1,0.3,2.1,1,0,16.17
86,Daniel TheisBOS,C,63,14.8,5.3,2,3.7,54.1,0.3,0.9,31,1,1.3,75.3,4.3,0.9,0.5,0.8,0.9,2,0,16.16
87,Klay ThompsonGS,SG,73,34.3,20,7.9,16.1,48.8,3.1,7.1,44,1.1,1.3,83.7,3.8,2.5,0.8,0.5,1.8,2,0,16.15
88,Buddy HieldSAC,SG,80,25.3,13.5,5.2,11.7,44.6,2.2,5.1,43.1,0.9,1,87.7,3.8,1.9,1.1,0.3,1.6,0,0,16.13
89,Draymond GreenGS,PF,70,32.7,11,4,8.8,45.4,1.1,3.7,30.1,1.9,2.5,77.5,7.6,7.3,1.4,1.3,2.9,23,3,16.1
90,Tyler ZellerMIL/BKN,C,66,16.8,6.7,2.8,5.1,56,0.2,0.4,35.7,0.9,1.2,72.2,4.6,0.7,0.2,0.5,0.7,0,0,16.01
91,JJ RedickPHI,SG,70,30.2,17.1,5.8,12.6,46,2.8,6.6,42,2.8,3.1,90.4,2.5,3,0.5,0.1,1.5,0,0,15.92
92,Kyle AndersonSA,SF,74,26.7,7.9,3.1,5.9,52.7,0.3,0.8,33.3,1.4,2,71.2,5.4,2.7,1.6,0.8,1.3,6,0,15.91
93,Fred VanVleetTOR,SG,76,20,8.6,3.1,7.2,42.6,1.4,3.4,41.4,1.1,1.3,83.2,2.4,3.2,0.9,0.3,1,0,0,15.9
94,Harrison BarnesDAL,SF,77,34.2,18.9,7,15.7,44.5,1.5,4.3,35.7,3.4,4.1,82.7,6.1,2,0.6,0.2,1.5,8,0,15.89
95,Spencer DinwiddieBKN,PG,80,28.8,12.6,4.1,10.5,38.7,1.8,5.4,32.6,2.7,3.4,81.3,3.2,6.6,0.9,0.3,1.6,7,0,15.89
96,Dario SaricPHI,PF,78,29.6,14.6,5.2,11.4,45.3,2,5.1,39.3,2.3,2.7,86,6.7,2.6,0.7,0.3,1.9,13,0,15.88
97,Dewayne DedmonATL,C,62,24.9,10,4,7.7,52.4,0.8,2.3,35.5,1.1,1.4,77.9,7.9,1.5,0.6,0.8,1.4,15,0,15.85
98,James JohnsonMIA,PF,73,26.6,10.8,4.2,8.4,50.3,0.8,2.5,30.8,1.5,2.2,69.8,4.9,3.8,1,0.7,1.9,6,0,15.82
99,John HensonMIL,PF,76,25.9,8.8,3.8,6.6,57.2,0,0.1,14.3,1.2,2.1,57,6.8,1.5,0.6,1.4,1.1,10,0,15.78
100,Bam AdebayoMIA,PF,69,19.8,6.9,2.5,4.9,51.2,0,0.1,0,1.9,2.6,72.1,5.5,1.5,0.5,0.6,1,7,0,15.74
101,Lauri MarkkanenCHI,PF,68,29.7,15.2,5.5,12.7,43.4,2.1,5.9,36.2,2.1,2.4,84.3,7.5,1.2,0.6,0.6,1.2,14,0,15.68
102,Ed DavisPOR,C,78,18.9,5.3,2.2,3.7,58.2,0,0,0,0.9,1.4,66.7,7.4,0.5,0.4,0.7,0.8,6,0,15.55
103,Ish SmithDET,PG,82,24.9,10.9,4.7,9.8,48.6,0.4,1.2,34.7,1,1.4,69.8,2.7,4.4,0.8,0.2,1.3,3,0,15.5
104,Taj GibsonMIN,C,82,33.3,12.2,5.2,9,57.7,0.1,0.4,20,1.7,2.3,76.8,7.1,1.2,0.8,0.7,1.1,18,0,15.45
105,Ricky RubioUTAH,PG,77,29.3,13.1,4.5,10.7,41.8,1.2,3.5,35.2,2.9,3.3,86.6,4.6,5.3,1.6,0.1,2.7,11,0,15.43
106,D.J. AugustinORL,PG,75,23.5,10.2,3.3,7.2,45.2,1.5,3.6,41.9,2.2,2.5,86.8,2.1,3.8,0.7,0,1.6,2,0,15.4
107,Tomas SatoranskyWSH,SG,73,22.5,7.2,2.8,5.3,52.3,0.6,1.4,46.5,1,1.3,78.1,3.2,3.9,0.7,0.2,1.1,0,0,15.35
108,Jayson TatumBOS,PF,80,30.5,13.9,5,10.4,47.5,1.3,3,43.4,2.7,3.2,82.6,5,1.6,1,0.7,1.4,4,0,15.29
109,Rajon RondoNO,PG,65,26.2,8.3,3.6,7.6,46.8,0.8,2.3,33.3,0.4,0.7,54.3,4,8.2,1.1,0.2,2.3,15,2,15.28
110,Eric GordonHOU,SG,69,31.2,18,6,14.1,42.8,3.2,8.8,35.9,2.8,3.5,80.9,2.5,2.2,0.6,0.4,1.9,0,0,15.22
111,Ekpe UdohUTAH,F,63,12.9,2.6,1,1.9,50,0,0,0,0.7,0.9,75,2.4,0.8,0.7,1.2,0.3,0,0,15.19
112,Terry RozierBOS,PG,80,25.9,11.3,4,10,39.5,1.9,5,38.1,1.4,1.9,77.2,4.7,2.9,1,0.2,1,1,1,15.12
113,Dejounte MurraySA,PG,81,21.5,8.1,3.3,7.5,44.3,0.1,0.4,26.5,1.3,1.8,70.9,5.7,2.9,1.2,0.4,1.7,7,0,15.09
114,Dwyane WadeCLE/MIA,G,67,22.9,11.4,4.5,10.2,43.8,0.5,1.7,28.8,2,2.8,71.4,3.8,3.4,0.9,0.7,2.1,3,0,15.09
115,Ersan IlyasovaATL/PHI,PF,69,25.1,10.9,4,8.9,45.2,1.3,3.7,36,1.5,2,77.8,5.9,1.3,0.9,0.4,1,7,0,14.94
116,Trevor BookerIND/BKN/PHI,F,68,17,6.3,2.6,5,51.6,0.1,0.5,24.2,1,1.4,71,4.7,1.2,0.4,0.3,0.9,4,0,14.91
117,Amir JohnsonPHI,F,74,15.8,4.6,1.9,3.5,53.8,0.1,0.4,31.3,0.7,1.1,61.2,4.5,1.6,0.6,0.6,0.7,1,0,14.9
118,Thaddeus YoungIND,PF,81,32.2,11.8,5.2,10.7,48.7,0.7,2.2,32,0.7,1.1,59.8,6.3,1.9,1.7,0.4,1.3,9,0,14.83
119,Kevon LooneyGS,PF,66,13.8,4,1.7,2.9,58,0,0.1,20,0.6,1.2,54.5,3.3,0.6,0.5,0.8,0.5,0,0,14.82
120,Jeff GreenCLE,PF,78,23.4,10.8,3.8,7.9,47.7,0.7,2.2,31.2,2.6,3,86.8,3.1,1.3,0.5,0.4,1,1,0,14.8
121,Robin LopezCHI,C,64,26.4,11.8,5.3,10.1,53,0.1,0.2,28.6,1.1,1.4,75.6,4.5,1.9,0.2,0.8,1.7,3,0,14.77
122,Serge IbakaTOR,C,76,27.5,12.6,5,10.3,48.3,1.4,3.9,36,1.2,1.6,79.7,6.3,0.8,0.4,1.3,1.2,8,0,14.72
123,Marcin GortatWSH,C,82,25.3,8.4,3.5,6.8,51.8,0,0,0,1.3,2,67.5,7.6,1.8,0.5,0.7,1.2,15,0,14.7
124,Gorgui DiengMIN,C,79,16.9,5.9,2.4,4.9,47.9,0.2,0.8,31.1,1,1.3,77.5,4.6,0.9,0.6,0.5,0.7,2,0,14.69
125,Pascal SiakamTOR,PF,81,20.7,7.3,3.1,6.1,50.8,0.4,1.6,22,0.7,1.1,62.1,4.5,2,0.8,0.5,0.8,0,0,14.54
126,Kent BazemoreATL,SG,65,27.5,12.9,4.4,10.4,42,1.7,4.2,39.4,2.5,3.1,79.6,3.8,3.5,1.5,0.7,2.4,0,0,14.51
127,Nicolas BatumCHA,SG,64,31,11.6,4.2,10.2,41.5,1.4,4.3,33.6,1.7,2,83.1,4.8,5.5,1,0.4,2,7,2,14.45
128,Frank KaminskyCHA,C,79,23.2,11.1,3.9,9.1,42.9,1.3,3.5,38,2,2.5,79.9,3.6,1.6,0.5,0.2,0.8,0,0,14.42
129,Joe InglesUTAH,SG,82,31.5,11.5,4.1,8.8,46.7,2.5,5.7,44,0.8,1,79.5,4.2,4.8,1.1,0.2,1.9,4,0,14.42
130,Rodney HoodCLE/UTAH,SF,60,26.9,14.7,5.4,12.5,42.9,2.1,5.6,38.1,1.9,2.2,86,2.8,1.6,0.8,0.2,1.2,0,0,14.38
131,Skal LabissiereSAC,PF,60,20.7,8.7,3.4,7.6,44.8,0.3,0.9,35.3,1.6,2,80.5,4.8,1.2,0.4,0.8,1.2,3,0,14.33
132,DeMarre CarrollBKN,SF,73,29.9,13.5,4.5,10.8,41.4,2,5.4,37.1,2.6,3.4,76.4,6.6,2,0.8,0.4,1.4,13,0,14.31
133,Jerian GrantCHI,PG,74,22.8,8.4,2.8,6.8,41.6,0.8,2.5,32.6,1.9,2.5,74.5,2.3,4.6,0.9,0.1,1.2,5,0,14.3
134,Caris LeVertBKN,SG,71,26.3,12.1,4.5,10.4,43.5,1.2,3.5,34.7,1.9,2.6,71.1,3.7,4.2,1.2,0.3,2.2,3,0,14.3
135,Kyle KuzmaLAL,PF,77,31.2,16.1,6.1,13.5,45,2.1,5.6,36.6,1.9,2.7,70.7,6.3,1.8,0.6,0.4,1.8,17,0,14.22
136,Marco BelinelliATL/PHI,SG,80,24.3,12.1,4.2,9.6,44.1,1.9,4.9,37.7,1.9,2,90.8,1.9,1.9,0.8,0.2,1.2,0,0,14.2
137,Shabazz NapierPOR,PG,74,20.7,8.7,3,7.2,42,1.1,2.9,37.6,1.6,1.9,84.1,2.3,2,1.1,0.2,1.2,0,0,14.18
138,Bismack BiyomboORL,C,82,18.2,5.7,2.2,4.3,52,0,0,0,1.2,1.9,65,5.7,0.8,0.3,1.2,1,7,0,14.15
139,Davis BertansSA,SF,77,14.1,5.9,2.1,4.8,44,1.2,3.3,37.3,0.5,0.6,81.6,2,1,0.3,0.4,0.5,0,0,14.13
140,Tyus JonesMIN,PG,82,17.9,5.1,1.8,4,45.7,0.5,1.6,34.9,0.9,1,87.7,1.6,2.8,1.2,0.1,0.7,0,0,14.1
141,Eric MorelandDET,C,67,12,2.1,1,1.8,54.1,0,0,0,0.2,0.4,37.9,4.1,1.2,0.5,0.8,0.6,2,0,13.99
142,Bojan BogdanovicIND,SF,80,30.8,14.3,5.1,10.7,47.4,1.9,4.8,40.2,2.2,2.6,86.8,3.4,1.5,0.7,0.1,1.3,0,0,13.98
143,Marvin WilliamsCHA,F,78,25.7,9.5,3.3,7.2,45.8,1.6,3.9,41.3,1.3,1.6,82.9,4.7,1.2,0.7,0.5,0.8,3,0,13.9
143,Brandon IngramLAL,SF,59,33.5,16.1,6.1,12.9,47,0.7,1.8,39,3.3,4.8,68.1,5.3,3.9,0.8,0.7,2.5,6,0,13.9
145,Anthony TolliverDET,PF,79,22.2,8.9,2.8,6,46.4,2,4.6,43.6,1.3,1.7,79.7,3.1,1.1,0.4,0.3,0.7,1,0,13.89
146,Mario HezonjaORL,SF,75,22.1,9.6,3.6,8.2,44.2,1.2,3.6,33.7,1.1,1.4,81.9,3.7,1.4,1.1,0.4,1.1,2,0,13.73
147,Mike ScottWSH,PF,76,18.5,8.8,3.6,6.9,52.7,0.9,2.1,40.5,0.7,1,65.8,3.3,1.1,0.3,0.1,1,0,0,13.72
148,Jaylen BrownBOS,SG,70,30.7,14.5,5.3,11.5,46.5,1.7,4.4,39.5,2.1,3.3,64.4,4.9,1.6,1,0.4,1.8,2,0,13.69
149,Reggie BullockDET,SF,62,27.9,11.3,4.3,8.8,48.9,2,4.5,44.5,0.6,0.8,79.6,2.5,1.5,0.8,0.2,0.8,0,0,13.66
150,Josh RichardsonMIA,SG,81,33.2,12.9,4.9,10.9,45.1,1.6,4.1,37.8,1.5,1.8,84.5,3.5,2.9,1.5,0.9,1.7,0,0,13.6
151,Bogdan BogdanovicSAC,SG,78,27.9,11.8,4.4,9.9,44.6,1.7,4.2,39.2,1.3,1.5,84,2.9,3.3,0.9,0.2,1.6,0,0,13.51
152,Maxi KleberDAL,PF,72,16.8,5.4,2.1,4.3,48.9,0.6,1.8,31.3,0.6,0.8,74.6,3.3,0.7,0.4,0.7,0.4,1,0,13.45
153,Kyle KorverCLE,SG,73,21.6,9.2,3,6.6,45.9,2.2,5.2,43.6,0.9,1,88.9,2.3,1.2,0.4,0.4,0.8,0,0,13.41
154,Joe HarrisBKN,SF,78,25.3,10.8,3.9,8,49.1,1.9,4.6,41.9,1.1,1.3,82.7,3.3,1.6,0.4,0.3,1.2,2,0,13.39
155,Shelvin MackORL,G,69,19.8,6.9,2.6,6,43,0.7,2,34.5,1,1.4,71.1,2.4,3.9,0.8,0.1,1.3,1,0,13.35
156,George HillCLE/SAC,PG,67,27,10,3.5,7.7,46,1.3,3.1,41.5,1.6,2.1,78.6,2.7,2.8,0.9,0.4,1.3,0,0,13.35
157,Markieff MorrisWSH,PF,73,27,11.5,4.5,9.4,48,1,2.8,36.7,1.4,1.8,82,5.6,1.9,0.8,0.5,1.7,5,0,13.3
158,Jonas JerebkoUTAH,F,74,15.3,5.8,2.1,4.6,46.6,0.9,2.1,41.4,0.6,0.8,80.7,3.3,0.6,0.3,0.2,0.4,0,0,13.25
159,Kentavious Caldwell-PopeLAL,SG,74,33.2,13.4,4.6,10.8,42.6,2.1,5.6,38.3,2.1,2.6,78.9,5.2,2.2,1.4,0.2,1.3,4,0,13.22
160,Alec BurksUTAH,SG,64,16.5,7.7,2.7,6.5,41.1,0.7,2.2,33.1,1.7,1.9,86.3,3,1,0.6,0.1,0.9,0,0,13.13
