RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,James HardenHOU,SG,72,35.4,30.4,9,20.1,44.9,3.7,10,36.7,8.7,10.1,85.8,5.4,8.8,1.8,0.7,4.4,31,4,29.87
2,Anthony DavisNO,PF,75,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34,6.6,8,82.8,11.1,2.3,1.5,2.6,2.2,50,1,28.98
3,LeBron JamesCLE,SF,82,36.9,27.5,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,73.1,8.6,9.1,1.4,0.9,4.2,52,18,28.65
4,Giannis AntetokounmpoMIL,PF,75,36.7,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76,10,4.8,1.5,1.4,3,42,1,27.37
5,Kevin DurantGS,SF,68,34.2,26.4,9.3,18,51.6,2.5,6.1,41.9,5.3,5.9,88.9,6.8,5.4,0.7,1.8,3,15,2,26.05
6,Damian LillardPOR,PG,73,36.6,26.9,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,4.5,6.6,1.1,0.4,2.8,11,0,25.19
7,LaMarcus AldridgeSA,PF,75,33.5,23.1,9.2,18,51,0.4,1.2,29.3,4.5,5.3,83.7,8.5,2,0.6,1.2,1.5,27,0,25.12
8,Kyrie IrvingBOS,PG,60,32.2,24.4,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,3.8,5.1,1.1,0.3,2.3,1,0,25.03
9,Karl-Anthony TownsMIN,C,82,35.6,21.3,7.8,14.3,54.5,1.5,3.5,42.1,4.2,4.9,85.8,12.3,2.4,0.8,1.4,1.9,68,0,24.99
10,Russell WestbrookOKC,PG,80,36.4,25.4,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,73.7,10.1,10.3,1.8,0.3,4.8,59,25,24.8
11,Montrezl HarrellLAC,PF,76,17,11,4.6,7.2,63.5,0,0.1,14.3,1.8,2.9,62.6,4,1,0.5,0.7,0.9,0,0,24.73
12,Clint CapelaHOU,C,74,27.5,13.9,6,9.1,65.2,0,0,0,1.9,3.5,56,10.8,0.9,0.8,1.9,1.4,42,0,24.55
13,Nikola JokicDEN,C,75,32.5,18.5,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85,10.7,6.1,1.2,0.8,2.8,38,10,24.52
14,Chris PaulHOU,PG,58,31.8,18.6,6.3,13.8,46,2.5,6.5,38,3.5,3.8,91.9,5.4,7.9,1.7,0.2,2.2,14,1,24.39
